latitude,longitude,weight
35.03,-90.02,977
35.21,-90.03,652
35.17,-89.98,729
35,-89.88,127
35.07,-89.88,1639
35.2,-89.93,543
35.08,-89.88,241
35.08,-90.05,206
35.05,-90.07,422
35.06,-89.93,431
35.05,-89.86,856
35.14,-89.98,201
35.15,-89.98,200
35.11,-90.04,702
35.05,-89.82,417
35.09,-89.97,736
35.08,-89.93,723
35.03,-89.86,439
35.05,-89.88,770
35.22,-90,467
35.03,-89.92,263
35.02,-89.93,292
35.01,-90.06,316
35.13,-90.05,2095
35.15,-90.01,877
35.04,-90.12,24
35.04,-89.81,491
35.18,-89.92,478
35.14,-89.9,697
35.15,-90.03,594
35.14,-89.97,632
35.09,-89.83,103
35.01,-90.05,533
35.06,-90.01,501
35.11,-89.88,116
35.1,-90.07,280
35.09,-89.9,360
35.19,-89.79,867
35.04,-90,629
35.13,-89.99,1391
35.02,-90.07,199
35.16,-89.92,488
35.11,-89.89,1251
35.18,-89.83,265
35.21,-90.01,564
35.09,-89.91,455
35.14,-90.04,2704
35.1,-89.97,705
35.03,-89.83,467
35.02,-89.85,345
35.06,-90.03,411
35.14,-90,938
35.07,-89.86,706
35.18,-89.89,453
35.22,-89.89,294
35.22,-89.7,1
35.18,-89.79,652
35.02,-90.08,272
35.12,-89.94,893
35.21,-89.98,547
35.1,-89.95,451
35.2,-89.73,263
35.05,-89.91,1088
35.03,-90.05,286
35.11,-89.99,676
35,-90.07,55
35.08,-89.85,195
35.04,-89.83,498
35.05,-90.01,657
35.01,-89.86,338
35.17,-90.04,96
35.01,-89.84,154
35.11,-89.79,67
35.23,-89.92,435
35.23,-90.01,349
35.17,-90.01,280
35.17,-90.03,219
35.11,-89.91,527
35.04,-89.93,358
35.1,-90.04,598
35.08,-89.97,556
35.2,-89.98,189
35.02,-89.83,302
35.03,-90.11,72
35.04,-90.04,149
35.11,-89.95,572
35.16,-90.01,613
35.03,-89.88,159
35.24,-89.92,180
35.02,-90.04,370
35.17,-89.91,298
35.08,-89.89,248
35.09,-89.88,121
35.16,-90,647
35.14,-90.02,845
35.04,-90.02,447
35.03,-90.04,199
35.03,-90.01,1098
35.08,-90.01,443
35.18,-89.98,80
35.22,-89.91,184
35.04,-89.8,217
35.21,-89.99,456
35.09,-90.01,284
35.14,-89.81,25
35.15,-89.92,346
35.12,-89.76,65
34.99,-90.02,88
35.04,-90.05,347
35.09,-89.95,334
35.16,-89.86,780
35.07,-89.99,771
35,-90.04,182
35.08,-89.98,546
35.08,-89.87,184
35.02,-89.9,249
35,-89.87,110
35.25,-89.92,69
35.2,-90.03,209
35.02,-89.99,372
35.11,-90.05,460
35.12,-89.93,87
35.2,-89.8,99
35.03,-89.93,299
35.19,-89.95,42
35.18,-89.9,35
35.23,-89.9,39
35.06,-89.94,326
35.2,-89.76,119
35.04,-89.85,1826
35.16,-89.97,393
35.2,-89.9,301
35.07,-90.01,386
35.12,-89.9,124
35.13,-89.85,142
35.09,-89.86,1253
35.15,-89.86,15
35.19,-89.8,164
35.06,-89.95,72
35.14,-89.78,86
35.12,-89.86,236
35.09,-89.84,144
35.06,-89.98,219
35.17,-89.87,414
35.19,-89.83,291
35,-89.91,113
35,-89.9,177
35.16,-89.98,1165
35.06,-89.87,152
35.06,-89.92,604
34.99,-89.93,28
35.05,-89.85,1270
35.07,-90.02,191
35.14,-89.8,94
35.17,-90.02,321
35.15,-89.97,710
35.1,-90.06,509
35.16,-89.94,751
35,-90.01,377
35.15,-90.04,986
35.02,-89.82,127
35.16,-89.88,26
35.05,-89.94,232
35.1,-90.01,719
35.1,-90,342
35.03,-89.9,54
35.05,-89.8,408
35.02,-89.91,336
35.02,-89.87,290
35.2,-89.78,619
35.02,-89.96,74
35.07,-90,229
35.05,-90.06,253
35.02,-89.86,391
35.16,-90.03,797
35.16,-89.91,672
35.05,-89.98,8
35.16,-90.02,577
35,-90.06,28
35,-90.09,77
35.17,-89.89,229
35.08,-89.94,442
35.05,-89.9,681
35.05,-90.09,83
35.09,-90,81
35.04,-90.08,368
35,-89.86,247
35.06,-90.04,69
35.01,-89.9,355
35.1,-89.91,73
35.14,-89.99,379
35.04,-89.91,397
35.2,-90.04,106
35.15,-89.9,342
35.21,-90.05,1
35,-90,423
35.19,-89.94,132
35.19,-89.92,58
35.08,-90,44
35.2,-90.01,556
35.17,-89.75,72
35.02,-89.94,276
35.2,-89.99,301
35.1,-90.08,19
35.24,-89.94,540
35.17,-90,210
35.2,-90.02,137
35.03,-89.87,278
35.18,-89.86,356
35.18,-89.85,196
35.07,-89.89,249
35.19,-89.81,100
35.01,-89.93,118
35,-90.03,125
35.18,-89.88,261
35.07,-89.95,434
35.17,-90.05,303
35,-89.94,339
35.07,-89.91,404
35.02,-90.05,326
35.18,-89.82,161
35.03,-89.89,337
35.22,-89.93,202
35.03,-89.94,122
35.15,-90.05,543
35.07,-90.04,12
35.2,-90.05,12
35.17,-89.78,401
35.11,-89.86,34
35.04,-89.87,547
35.07,-90.08,33
35.16,-89.83,139
35.09,-90.04,541
35.01,-90,235
35,-89.99,384
35.15,-89.85,104
35.18,-89.81,93
35.06,-90.06,281
35.18,-89.97,107
35.03,-90.03,1239
35.13,-89.89,174
35.04,-90.03,99
35.07,-89.97,293
35.08,-89.92,380
35.02,-90.09,266
35.19,-89.9,790
35.24,-89.97,318
35.02,-89.89,98
35.08,-90.06,300
35.21,-89.9,497
35.04,-89.79,419
35.19,-89.78,307
34.99,-89.87,23
35.2,-89.81,147
35.08,-90.08,11
35.04,-89.95,301
35.01,-89.82,34
35.04,-89.94,118
35.01,-90.08,194
34.99,-89.85,96
35.23,-89.94,113
35.04,-89.89,280
35.08,-90.11,24
35.03,-89.91,148
35.08,-89.9,318
35.22,-89.94,290
35.03,-89.84,355
35.24,-90,24
35.15,-89.8,139
35.07,-89.85,120
35.01,-89.89,174
35.22,-89.98,375
35.23,-89.98,382
35.23,-90,223
35.21,-89.97,406
35.06,-89.89,390
35,-89.92,45
35.05,-89.79,312
35.2,-89.94,121
35.08,-90.04,290
35.03,-89.96,68
35.1,-89.92,136
35.15,-89.95,913
35.16,-89.9,165
35.08,-89.91,419
35.24,-89.99,157
35.23,-89.99,308
35.07,-89.83,167
35.2,-89.83,58
35.05,-90.14,1
35.12,-89.91,73
35.08,-90.03,180
35.15,-90,531
34.99,-90,126
35.09,-90.02,61
35.03,-89.85,328
35.08,-89.99,45
35.12,-89.89,68
35.21,-89.88,153
35.02,-90.03,185
35.22,-90.02,159
35.23,-89.96,206
35.25,-89.93,303
35.17,-89.84,69
35.09,-89.89,260
35.01,-89.91,92
35.24,-89.95,308
35.24,-89.93,343
35.23,-89.93,329
35.06,-89.96,20
35.07,-90.06,10
35.24,-89.88,3
35.33,-89.87,1
35.06,-90.07,254
35.21,-89.93,61
35.01,-89.87,132
35.01,-90.07,243
35.16,-90.05,167
35.13,-89.9,150
35.19,-89.74,20
35.25,-89.95,158
35.18,-90,40
35.2,-89.97,678
35.06,-90.13,21
35.19,-89.84,43
35.22,-89.96,155
35.18,-90.03,78
35.06,-90.08,211
35.01,-89.99,481
35.06,-89.91,420
35.18,-90.05,36
35.12,-89.88,83
35.03,-89.95,137
35.03,-90.1,136
35,-89.85,140
35.07,-90.03,40
35.06,-89.81,39
35.2,-89.74,35
34.99,-89.94,107
35,-89.97,40
35,-89.89,43
35.18,-89.84,201
35.13,-89.78,202
35.04,-90.01,211
35.08,-90.07,57
35.23,-89.97,269
35.11,-89.92,200
35.09,-90.03,241
35.11,-89.93,273
35.2,-89.72,108
35.19,-89.93,137
35.16,-89.78,119
35.21,-90.04,232
35.15,-89.78,154
35.09,-89.92,423
35.19,-89.98,35
35.13,-89.76,84
35.12,-89.87,66
35.03,-90.08,362
35.08,-89.86,211
35.22,-89.95,135
35.1,-89.83,177
35.11,-89.87,60
35.18,-89.96,14
35.22,-90.03,211
35.1,-89.9,185
35.17,-89.76,102
35.19,-89.82,142
35.12,-90.12,159
35.06,-89.83,620
35.08,-89.84,68
35.04,-89.96,88
35.12,-89.96,164
35.19,-89.77,38
35.19,-89.99,105
35.01,-90.01,163
35.13,-89.87,175
35.19,-90.01,80
35.09,-89.87,56
35.26,-89.92,15
35.15,-89.93,407
34.99,-89.91,1
35.11,-89.83,44
35.14,-89.88,189
35.21,-89.89,202
35.03,-89.78,9
35.05,-89.78,177
35.03,-89.82,157
35.13,-89.91,54
35.18,-89.77,75
35.13,-89.93,160
35,-90.08,44
34.99,-90.01,52
35.12,-89.92,80
35.01,-89.95,227
35.05,-90.03,83
35.16,-89.76,37
35.13,-89.92,100
35.2,-89.88,108
35.02,-90.12,8
35.21,-89.96,86
35.01,-89.94,127
35.22,-89.88,161
35.01,-90.1,33
35,-90.11,42
35.09,-90.07,306
34.99,-90.04,6
35.01,-90.03,160
35.13,-89.8,62
35.04,-90.09,99
35.02,-90.1,122
35.22,-89.99,386
35.19,-89.88,168
35.2,-89.96,109
35.13,-89.86,129
35.18,-90.02,4
35.21,-89.95,110
35.15,-89.84,225
35.16,-89.8,163
35.24,-89.98,145
35.25,-89.94,58
,,8
35.04,-90.07,132
35.04,-90.1,97
35.03,-89.81,63
35.17,-89.77,101
35.12,-89.85,201
35.11,-89.77,17
35.19,-89.91,251
35.05,-90.1,73
35.06,-89.82,226
35.25,-89.97,30
35.06,-89.8,44
35.05,-90.12,7
35.05,-89.96,43
35.19,-89.72,96
35.14,-89.87,40
35.21,-89.94,31
35.18,-89.76,121
35.01,-89.96,78
35.05,-90.08,70
35.15,-89.76,21
35,-90.12,70
35.16,-89.77,35
35.19,-89.75,45
34.99,-90.06,56
35.05,-89.67,1
35.14,-89.77,142
35,-89.95,106
35.06,-90.09,12
35.04,-89.76,62
35.04,-89.99,44
35.15,-89.83,47
35.11,-89.75,2
35.03,-90.12,14
35.13,-89.75,9
35.04,-89.78,26
34.99,-89.99,31
35.11,-89.85,15
35,-90.13,5
35.17,-89.8,33
35.17,-89.81,17
35.16,-89.82,1
34.99,-90.09,2
35.02,-90.11,15
35.19,-89.76,58
35.12,-89.84,5
35.18,-89.78,72
35,-89.96,29
35.05,-89.77,14
35.11,-89.84,27
35.13,-89.77,52
35.11,-90.11,6
35.12,-89.77,43
35.12,-89.78,42
34.99,-89.95,33
35.05,-89.76,6
35.2,-89.86,2
35.18,-89.99,19
35.18,-89.72,25
35.16,-89.81,23
34.99,-90.05,7
35.01,-90.12,21
35.16,-89.89,7
35.23,-89.91,39
35.01,-90.11,24
35.04,-89.77,13
35.31,-89.85,1
35.09,-90.08,11
35.24,-89.91,7
35.25,-89.96,7
35.18,-90.04,37
35.22,-90.04,3
35.19,-90.06,1
35.11,-89.78,10
35.18,-89.94,13
35.23,-89.88,4
35.16,-89.66,1
35.24,-89.96,6
35.12,-90.07,74
34.85,-81.59,6
35.07,-90.09,8
35.01,-89.98,7
35,-89.93,97
35.18,-90.01,21
35.03,-89.98,4
35.09,-90.1,27
35.1,-89.78,1
35.06,-89.97,13
35.23,-89.95,56
35.14,-89.85,5
35.09,-89.8,2
35.02,-89.98,12
35.04,-90.11,4
34.85,-89.59,1
35.04,-89.97,3
35.22,-89.29,1
35.09,-90.11,27
35.04,-89.98,10
35.17,-89.9,10
35.25,-90.02,1
35.17,-89.69,1
35.18,-89.75,16
34.86,-81.65,1
35.19,-89.86,1
35.05,-90.15,1
35.31,-89.94,1
35.19,-89.96,9
35.18,-89.8,35
35.21,-89.68,1
34.99,-89.88,19
35.08,-89.83,25
35.11,-90.12,3
35.2,-89.69,4
35.12,-90.11,3
35.06,-90.11,5
35.12,-89.75,4
35.06,-89.78,3
35.15,-90.06,1
35.1,-90.1,17
35.02,-89.78,1
35.11,-89.76,14
35.24,-89.85,4
35.04,-90.16,7
35.14,-89.75,3
35.28,-89.79,1
35.19,-89.73,7
34.99,-89.92,1
35,-89.84,12
35.05,-89.97,5
35.24,-90.01,3
35.19,-90.05,10
35.06,-90.12,3
35.21,-89.77,2
35.14,-89.76,7
35.11,-89.8,9
35.21,-89.79,1
35.17,-89.82,4
35.27,-89.89,1
35.25,-89.78,1
35.13,-89.82,1
35.21,-89.8,2
35.06,-90.15,11
35.07,-89.82,10
35.14,-90.06,3
35.1,-90.09,26
34.99,-89.98,8
35.17,-89.73,1
35.07,-90.07,8
35.35,-89.82,1
34.99,-90.07,9
34.99,-89.9,1
35.16,-89.74,1
34.86,-90.49,1
35.13,-89.84,8
35.02,-89.97,1
34.99,-89.83,2
35.02,-89.79,3
35.08,-90.09,1
35.07,-90.15,7
35.24,-89.89,1
35.25,-90,1
35.01,-89.8,1
35.08,-89.79,1
36.13,-90.05,1
35.26,-90.04,1
35.04,-89.72,2
35.11,-90.08,5
35.08,-90.13,22
34.99,-89.89,6
35.16,-89.75,1
35.06,-90.14,6
35.17,-89.72,1
35.3,-89.64,1
35.11,-90.09,1
35,-88,1
35.03,-89.79,4
35.14,-89.83,1
35.15,-89.82,1
35.07,-89.67,1
35.11,-89.82,1
35.23,-89.81,1
35.21,-89.81,2
34.85,-36.88,3
35.23,-89.82,2
35.05,-89,1
35.01,-90.13,1
34.85,-90.49,1
35.05,-90.11,3
35.04,-89.73,2
35.99,-89.85,1
35.2,-89.65,2
35.07,-90.11,1
35.2,-89.71,2
35.03,-90.15,1
35.13,-89.83,1
35.02,-84.35,1
35.19,-89.87,1
35.01,-89.78,2
35.85,-83.75,1
35.2,-89.66,1
35.15,-89.81,1
35.25,-90.04,1
35.15,-89.87,2
35.04,-89.66,2
35.09,-89.7,1
35.18,-89,1
35.11,-89.81,1
35.01,-89.79,1
35.25,-89.84,1
34.99,-90.12,2
35.2,-89.87,2
35.14,-89.84,1
35.14,-89.86,3
35.1,-90.11,1
35.3,-89.82,1
35.25,-89.66,1
35.15,-89.68,1
35.16,-89.72,1
34.99,-90.03,1
35.21,-89.66,1
35.06,-89.77,1
35.1,-89.76,2
35.25,-89.86,1
35.08,-89.82,1
35.02,-89.69,1
35.14,-90.1,1
35.02,-90.13,1
35.21,-89.73,1
35.19,-89.71,1
35,-89.65,1
35.28,-89.92,1
35.12,-89.8,1
35.15,-90.15,1
35.05,-90.3,1
35.19,-90.02,1
35.19,-90.03,1
35.08,-89.8,1
35.25,-89.85,1
35.35,-89.89,1
35.01,-89.81,1
35.22,-89.81,1
35.29,-89.66,1
35.07,-89.81,1
35.12,-90.09,1
