latitude,longitude,weight
35.17,-89.83,929
35.12,-90,363
35.12,-90.04,411
35.16,-89.85,653
35.11,-89.96,510
35.11,-89.98,615
35.11,-89.97,675
35.05,-89.93,539
35.12,-89.99,541
35.12,-90.01,420
34.99,-89.86,50
35.12,-90.03,642
35.17,-89.95,318
35.1,-89.99,428
35.13,-90.03,499
35.03,-90.06,170
35.02,-89.92,292
35.16,-89.95,389
35.09,-90.06,457
35.11,-90.01,450
35.12,-90.02,664
35,-89.98,59
35.13,-90.04,1165
35.08,-90.02,177
35.18,-89.91,64
35.11,-90.03,735
35.11,-90.06,240
35.1,-90.05,508
35.14,-90.03,1069
35.17,-89.94,304
35.12,-90.05,499
35.04,-90.15,17
35.08,-89.96,706
35.17,-89.93,561
35.2,-89.79,353
35.16,-89.96,30
35.09,-89.99,486
35.12,-89.98,474
35.11,-90,444
35.09,-89.98,292
35.22,-90.01,625
35.05,-89.92,1003
35.15,-89.96,178
35.13,-89.98,580
35.17,-89.96,126
35.04,-89.92,310
35.17,-89.92,546
35.17,-89.88,263
35.16,-90.04,451
35.14,-89.96,1046
35.18,-89.95,25
35.22,-89.97,693
35.09,-89.94,478
35.14,-89.95,873
35.1,-89.88,748
35.22,-89.9,181
35.03,-90,654
35.2,-89.92,474
35.06,-89.99,440
35.17,-89.99,190
35.13,-90.02,1704
35.09,-89.96,727
35.13,-89.97,603
35.15,-89.77,96
35.02,-90.01,352
35.06,-90.05,571
35.18,-89.87,825
35.04,-89.84,546
35.19,-90,376
35.04,-90.06,315
35.2,-89.89,722
35.13,-89.96,1042
35.01,-89.88,53
35.15,-90.02,524
35.03,-90.07,287
35,-90.1,172
35.14,-89.92,623
35.14,-89.94,633
35.07,-90.05,23
35.07,-89.94,567
35.01,-89.83,172
35.21,-90,633
35.13,-90.01,1491
35.17,-89.85,240
35.06,-89.86,907
35.2,-90,555
35.02,-90.02,557
35.07,-89.87,431
35.07,-89.92,891
35.05,-90.02,658
35.16,-89.84,1055
35.01,-90.09,47
35.06,-89.79,50
35.04,-89.86,669
35.07,-89.84,385
35.09,-89.93,620
35.06,-89.84,1265
35.17,-89.86,654
35.15,-89.91,669
35.14,-89.79,939
35.06,-89.9,848
35.13,-90,1342
35.23,-89.89,567
35.04,-89.88,523
35.13,-89.94,414
35.1,-89.86,1205
35.15,-89.89,577
35.21,-90.02,709
35.2,-89.75,230
35.05,-90.05,275
35.11,-90.02,715
35.13,-89.95,425
35.2,-89.77,234
35.12,-89.95,347
35.08,-90.12,27
35.1,-89.96,637
35.16,-89.99,451
35.19,-89.89,361
35.02,-90,818
35.15,-89.99,329
35.14,-89.89,455
35.07,-89.93,429
35.03,-90.09,337
35.1,-89.84,412
35.1,-89.85,677
35.14,-90.05,5179
35.06,-89.85,832
35.16,-89.87,302
35.1,-89.89,769
35.14,-90.01,1092
35.04,-89.82,614
35.07,-89.98,452
35.17,-89.79,664
35.03,-89.99,498
35.11,-90.07,96
35.13,-89.88,149
35.12,-89.79,145
35.14,-89.91,613
35.12,-89.97,288
35.09,-90.05,450
35.1,-90.03,579
35.2,-89.91,733
35.13,-89.79,650
35.04,-89.9,489
35.1,-89.98,1027
35.06,-89.88,756
35.05,-89.83,612
35.16,-89.79,654
35.15,-89.79,677
35.02,-89.84,335
35.01,-89.85,97
35.05,-89.84,657
35.11,-89.94,1552
35.05,-89.81,199
35.12,-90.06,594
35.05,-89.95,280
35.1,-89.94,636
35.1,-90.02,398
35.05,-89.99,785
35.1,-89.87,314
35.01,-90.02,411
35.02,-89.95,385
35.17,-89.97,856
35.06,-90,555
35.09,-89.85,142
35.07,-89.96,129
35.1,-89.93,614
35.11,-89.9,1049
35.18,-89.93,446
35,-90.02,586
35.07,-89.9,1117
35.05,-89.87,334
35.2,-89.82,120
35.01,-90.04,557
35.19,-89.97,217
35.05,-90,1120
35.06,-90.02,276
35.15,-89.94,488
35.08,-89.95,505
35.15,-89.88,654
35.13,-90.06,493
35.16,-89.93,661
35.2,-89.95,157
35.05,-90.04,127
35.02,-90.06,141
35.05,-89.89,428
35.21,-89.92,462
35.02,-89.88,83
35,-90.05,210
35.22,-89.92,347
35.21,-89.91,459
35.14,-89.93,330
